"policy_id";"customer_id";"product_type";"coverage_amount";"annual_premium";"policy_start_date";"policy_end_date";"agent_id";"status"
"POL50001";"CUST10833";"Property";169869.71;27193.94;"2021-07-25 00:00:00";"2022-10-25 00:00:00";"AGT5238";"Active"
"POL50002";"CUST11786";"Health";546514.84;19603.44;"2022-09-19 00:00:00";"2024-04-29 00:00:00";"AGT5008";"Cancelled"
"POL50003";"CUST10501";"Property";944249.15;36274.58;"2022-12-08 00:00:00";"2025-04-23 00:00:00";"AGT5118";"Cancelled"
"POL50004";"CUST10349";"Property";209475.32;23091.58;"2024-04-09 00:00:00";"2024-07-20 00:00:00";"AGT5090";"Active"
"POL50005";"CUST12296";"Term";887938.35;10458.22;"2022-10-08 00:00:00";"2024-12-12 00:00:00";"AGT5050";"Lapsed"
"POL50006";"CUST10250";"Health";979428.37;4539.35;"2021-06-27 00:00:00";"2021-08-08 00:00:00";"AGT5264";"Cancelled"
"POL50007";"CUST10608";"Whole";541181.31;45441.66;"2022-09-23 00:00:00";"2024-02-09 00:00:00";"AGT5028";"Lapsed"
"POL50008";"CUST10296";"Vehicle";971674.8;48214.24;"2022-12-23 00:00:00";"2024-08-20 00:00:00";"AGT5067";"Active"
"POL50010";"CUST11384";"Property";130539.69;3511.69;"2023-12-08 00:00:00";"2025-03-08 00:00:00";"AGT5085";"Lapsed"
"POL50011";"CUST10394";"Health";131152.58;9900.3;"2022-11-14 00:00:00";"2023-05-11 00:00:00";"AGT5170";"Active"
"POL50012";"CUST11518";"Whole";815756.62;44472.07;"2024-05-16 00:00:00";"2025-04-20 00:00:00";"AGT5234";"Active"
"POL50013";"CUST11126";"Vehicle";547913.87;39658.45;"2023-05-23 00:00:00";"2025-06-14 00:00:00";"AGT5189";"Active"
"POL50015";"CUST10475";"Property";907020.3;6462.12;"2022-06-30 00:00:00";"2022-09-02 00:00:00";"AGT5001";"Cancelled"
"POL50016";"CUST11064";"Whole";586344.33;45327.69;"2021-11-18 00:00:00";"2022-09-14 00:00:00";"AGT5213";"Cancelled"
"POL50017";"CUST10592";"Vehicle";275989.03;37887.11;"2020-10-27 00:00:00";"2025-02-16 00:00:00";"AGT5275";"Cancelled"
"POL50018";"CUST11364";"Property";384698.44;49184.02;"2020-10-05 00:00:00";"2024-04-30 00:00:00";"AGT5098";"Cancelled"
"POL50019";"CUST10066";"Vehicle";434043.09;37396.88;"2023-04-22 00:00:00";"2024-08-12 00:00:00";"AGT5176";"Cancelled"
"POL50025";"CUST10942";"Vehicle";353023.28;18602.78;"2024-07-08 00:00:00";"2024-12-08 00:00:00";"AGT5209";"Active"
"POL50026";"CUST12109";"Term";719070.45;14093.71;"2020-10-11 00:00:00";"2024-09-27 00:00:00";"AGT5027";"Cancelled"
"POL50027";"CUST11999";"Property";840587.82;35314.17;"2021-11-25 00:00:00";"2023-07-18 00:00:00";"AGT5204";"Lapsed"
"POL50028";"CUST12156";"Health";582715.81;39794.25;"2023-01-06 00:00:00";"2025-01-11 00:00:00";"AGT5126";"Active"
"POL50029";"CUST11359";"Vehicle";163824.38;33285.65;"2023-06-22 00:00:00";"2024-11-04 00:00:00";"AGT5061";"Lapsed"
"POL50030";"CUST10448";"Property";807060.02;36635.08;"2023-11-23 00:00:00";"2024-09-09 00:00:00";"AGT5207";"Cancelled"
"POL50032";"CUST11417";"Whole";798813.7;20473.58;"2023-01-23 00:00:00";"2023-03-16 00:00:00";"AGT5004";"Cancelled"
"POL50035";"CUST10592";"Health";871514.03;28973.66;"2021-09-05 00:00:00";"2024-12-30 00:00:00";"AGT5136";"Cancelled"
"POL50036";"CUST12390";"Health";142307.39;36977.67;"2023-09-22 00:00:00";"2025-07-17 00:00:00";"AGT5042";"Lapsed"
"POL50037";"CUST10489";"Term";627889.49;36865.33;"2021-12-27 00:00:00";"2024-08-17 00:00:00";"AGT5063";"Lapsed"
"POL50040";"CUST10014";"Term";547848.45;27414.18;"2024-06-08 00:00:00";"2024-12-03 00:00:00";"AGT5132";"Active"
"POL50041";"CUST11804";"Term";843370.17;41887.86;"2022-07-14 00:00:00";"2024-06-13 00:00:00";"AGT5066";"Lapsed"
"POL50042";"CUST11271";"Vehicle";328869.26;4714.79;"2023-04-21 00:00:00";"2025-06-20 00:00:00";"AGT5274";"Cancelled"
"POL50043";"CUST11243";"Property";690040.81;46085.56;"2023-05-23 00:00:00";"2024-04-10 00:00:00";"AGT5193";"Lapsed"
"POL50044";"CUST11129";"Health";904616.54;40740.67;"2021-07-15 00:00:00";"2025-07-15 00:00:00";"AGT5038";"Active"
"POL50046";"CUST10970";"Whole";711204.44;38807.98;"2022-12-13 00:00:00";"2025-07-07 00:00:00";"AGT5170";"Active"
"POL50048";"CUST11327";"Vehicle";372262.99;15032.67;"2023-11-02 00:00:00";"2025-02-14 00:00:00";"AGT5197";"Cancelled"
"POL50049";"CUST12232";"Term";975344.15;17815.76;"2023-07-30 00:00:00";"2023-10-13 00:00:00";"AGT5137";"Cancelled"
"POL50050";"CUST11918";"Whole";816790.54;18906.44;"2022-12-13 00:00:00";"2024-07-17 00:00:00";"AGT5125";"Lapsed"
"POL50051";"CUST11108";"Whole";160785.96;28970.38;"2021-06-08 00:00:00";"2025-03-18 00:00:00";"AGT5150";"Active"
"POL50052";"CUST11513";"Whole";734826.24;45043.26;"2022-08-04 00:00:00";"2022-11-08 00:00:00";"AGT5016";"Cancelled"
"POL50053";"CUST11051";"Health";742128.53;28612.18;"2023-12-03 00:00:00";"2024-04-07 00:00:00";"AGT5122";"Cancelled"
"POL50054";"CUST10326";"Term";696087.49;6102.28;"2023-12-23 00:00:00";"2025-02-07 00:00:00";"AGT5200";"Cancelled"
"POL50055";"CUST10712";"Health";551374.99;40816.06;"2023-02-27 00:00:00";"2025-04-17 00:00:00";"AGT5090";"Active"
"POL50056";"CUST10542";"Whole";270382.46;29109.99;"2020-10-11 00:00:00";"2023-04-26 00:00:00";"AGT5104";"Cancelled"
"POL50057";"CUST11838";"Term";840905.34;22216.76;"2024-05-09 00:00:00";"2025-03-14 00:00:00";"AGT5177";"Lapsed"
"POL50058";"CUST11567";"Health";655087.31;44894.32;"2021-01-07 00:00:00";"2021-12-17 00:00:00";"AGT5143";"Lapsed"
"POL50059";"CUST10566";"Term";200300.72;17198.13;"2023-11-09 00:00:00";"2024-09-16 00:00:00";"AGT5050";"Active"
"POL50060";"CUST11977";"Term";839418.35;15558.94;"2022-04-08 00:00:00";"2023-11-23 00:00:00";"AGT5108";"Lapsed"
"POL50063";"CUST11444";"Term";177725.17;4067.07;"2023-10-10 00:00:00";"2025-01-04 00:00:00";"AGT5048";"Cancelled"
"POL50064";"CUST10416";"Health";880509.51;43646.81;"2022-04-01 00:00:00";"2022-08-25 00:00:00";"AGT5066";"Cancelled"
"POL50065";"CUST12295";"Health";915191.32;42854.27;"2023-11-30 00:00:00";"2024-01-15 00:00:00";"AGT5124";"Cancelled"
"POL50066";"CUST10889";"Health";835786.12;12499.28;"2023-01-07 00:00:00";"2024-05-11 00:00:00";"AGT5064";"Lapsed"
"POL50068";"CUST12089";"Term";547702.66;19496.28;"2023-12-15 00:00:00";"2024-06-14 00:00:00";"AGT5287";"Active"
"POL50069";"CUST10956";"Vehicle";682125.86;38420.16;"2022-12-21 00:00:00";"2023-02-12 00:00:00";"AGT5107";"Cancelled"
"POL50070";"CUST11671";"Health";956321.6;25615.92;"2022-06-20 00:00:00";"2022-12-21 00:00:00";"AGT5271";"Lapsed"
"POL50074";"CUST12293";"Health";746038.89;49980.62;"2024-03-06 00:00:00";"2025-04-25 00:00:00";"AGT5141";"Lapsed"
"POL50075";"CUST10985";"Health";743613.53;30514.49;"2021-07-02 00:00:00";"2023-12-06 00:00:00";"AGT5117";"Active"
"POL50076";"CUST10687";"Property";187706.5;11221.66;"2022-11-28 00:00:00";"2024-12-03 00:00:00";"AGT5165";"Active"
"POL50078";"CUST10752";"Whole";694428.33;19815.2;"2021-09-04 00:00:00";"2024-07-10 00:00:00";"AGT5142";"Active"
"POL50079";"CUST10227";"Whole";465701.71;35036.97;"2022-12-24 00:00:00";"2023-05-18 00:00:00";"AGT5293";"Lapsed"
"POL50080";"CUST12234";"Whole";588273.31;35376.55;"2024-03-16 00:00:00";"2025-04-06 00:00:00";"AGT5213";"Active"
"POL50081";"CUST10503";"Vehicle";753449.27;7062.18;"2024-02-18 00:00:00";"2024-04-13 00:00:00";"AGT5040";"Active"
"POL50082";"CUST11701";"Term";349076.06;11261.52;"2023-10-19 00:00:00";"2023-12-03 00:00:00";"AGT5194";"Lapsed"
"POL50084";"CUST12150";"Health";511881.05;3274.74;"2021-11-08 00:00:00";"2025-02-14 00:00:00";"AGT5205";"Lapsed"
"POL50086";"CUST12375";"Vehicle";257171.35;43304.29;"2024-06-27 00:00:00";"2025-07-05 00:00:00";"AGT5179";"Active"
"POL50089";"CUST11404";"Term";935038.95;39801.04;"2024-04-21 00:00:00";"2025-05-03 00:00:00";"AGT5266";"Lapsed"
"POL50090";"CUST10346";"Vehicle";569228.21;36747.94;"2024-07-12 00:00:00";"2025-04-05 00:00:00";"AGT5289";"Lapsed"
"POL50091";"CUST11971";"Vehicle";825009.46;9878.53;"2022-03-09 00:00:00";"2022-04-24 00:00:00";"AGT5250";"Active"
"POL50092";"CUST11712";"Vehicle";595371.81;39745.19;"2023-05-08 00:00:00";"2024-03-23 00:00:00";"AGT5207";"Cancelled"
"POL50093";"CUST10239";"Health";147625.58;12859.99;"2022-11-06 00:00:00";"2023-07-23 00:00:00";"AGT5252";"Active"
"POL50095";"CUST11299";"Whole";894759.5;20397.95;"2023-06-16 00:00:00";"2024-08-16 00:00:00";"AGT5240";"Lapsed"
"POL50097";"CUST10212";"Vehicle";605133.82;29955.1;"2022-02-14 00:00:00";"2024-10-17 00:00:00";"AGT5247";"Cancelled"
"POL50098";"CUST10216";"Property";299788.37;11308.78;"2022-12-23 00:00:00";"2022-12-31 00:00:00";"AGT5097";"Lapsed"
"POL50099";"CUST12038";"Health";948633.58;16393.99;"2023-08-26 00:00:00";"2024-07-20 00:00:00";"AGT5243";"Lapsed"
"POL50100";"CUST10864";"Whole";220165.25;32305.27;"2022-03-01 00:00:00";"2024-05-31 00:00:00";"AGT5211";"Active"
"POL50102";"CUST11340";"Vehicle";801681.63;42144.88;"2020-09-30 00:00:00";"2023-07-30 00:00:00";"AGT5286";"Lapsed"
"POL50103";"CUST11472";"Term";515140.91;6681.47;"2023-05-07 00:00:00";"2024-01-10 00:00:00";"AGT5038";"Cancelled"
"POL50104";"CUST11322";"Health";380894.96;16737.41;"2024-02-03 00:00:00";"2024-12-11 00:00:00";"AGT5038";"Active"
"POL50106";"CUST11338";"Health";342292.33;32354.87;"2024-03-22 00:00:00";"2024-04-06 00:00:00";"AGT5080";"Active"
"POL50107";"CUST11767";"Health";490589.06;7958.92;"2024-07-03 00:00:00";"2025-02-25 00:00:00";"AGT5061";"Active"
"POL50108";"CUST10505";"Property";954517.2;10718.57;"2024-01-11 00:00:00";"2025-02-08 00:00:00";"AGT5107";"Lapsed"
"POL50109";"CUST10302";"Property";837692.43;7476.89;"2022-05-29 00:00:00";"2024-06-01 00:00:00";"AGT5203";"Lapsed"
"POL50110";"CUST12062";"Property";885561.58;13814.82;"2024-02-18 00:00:00";"2024-08-08 00:00:00";"AGT5298";"Active"
"POL50111";"CUST12443";"Health";915374.09;10366.44;"2024-05-06 00:00:00";"2025-06-22 00:00:00";"AGT5125";"Cancelled"
"POL50112";"CUST10345";"Vehicle";601549.79;15764.39;"2022-03-28 00:00:00";"2023-12-05 00:00:00";"AGT5104";"Active"
"POL50114";"CUST12222";"Term";149292.31;8591.39;"2024-05-31 00:00:00";"2024-12-15 00:00:00";"AGT5286";"Cancelled"
"POL50115";"CUST11412";"Whole";461052.47;3223.38;"2024-04-20 00:00:00";"2024-11-15 00:00:00";"AGT5261";"Active"
"POL50117";"CUST11866";"Term";716526.07;9221.38;"2022-06-24 00:00:00";"2023-03-06 00:00:00";"AGT5255";"Lapsed"
"POL50118";"CUST12355";"Whole";111527.76;47388.97;"2021-09-27 00:00:00";"2021-10-12 00:00:00";"AGT5019";"Cancelled"
"POL50119";"CUST12084";"Property";172332.75;41480.97;"2024-03-29 00:00:00";"2024-08-23 00:00:00";"AGT5222";"Active"
"POL50120";"CUST11673";"Property";161995.34;4777.18;"2023-03-02 00:00:00";"2024-09-18 00:00:00";"AGT5020";"Active"
"POL50121";"CUST10749";"Property";135122.96;29699.48;"2023-07-03 00:00:00";"2025-06-14 00:00:00";"AGT5012";"Cancelled"
"POL50123";"CUST12105";"Term";317421.93;35803.16;"2024-01-31 00:00:00";"2025-04-30 00:00:00";"AGT5183";"Cancelled"
"POL50124";"CUST11191";"Term";800532.65;37235.75;"2021-06-25 00:00:00";"2024-10-14 00:00:00";"AGT5148";"Cancelled"
"POL50128";"CUST11932";"Property";543240.96;31294.86;"2020-12-09 00:00:00";"2023-06-16 00:00:00";"AGT5135";"Lapsed"
